order_id,order_date,ship_date,ship_mode
CA-2016-126158,2014-09-13,2014-09-17,Standard Class
US-2016-105578,2017-04-07,2017-04-12,Standard Class
CA-2017-134978,2017-04-07,2017-04-12,Second Class
CA-2015-145352,2017-04-07,2017-04-12,Standard Class
CA-2017-135307,2017-04-07,2017-04-12,First Class
CA-2016-106341,2017-04-07,2017-04-12,First Class
CA-2017-163405,2017-11-12,2017-11-16,Standard Class
CA-2017-127432,2016-06-04,2016-06-09,Standard Class
CA-2015-157812,2016-06-04,2016-06-09,Standard Class
CA-2017-145142,2016-06-04,2016-06-09,First Class
US-2016-139486,2016-06-04,2016-06-09,First Class
CA-2015-158792,2016-06-04,2016-06-09,Standard Class
CA-2017-113558,2016-06-04,2016-06-09,Standard Class
US-2015-138303,2016-06-04,2016-06-09,Standard Class
CA-2015-102848,2014-06-01,2014-06-06,Second Class
US-2017-129441,2014-06-01,2014-06-06,Standard Class
CA-2016-168753,2014-06-01,2014-06-06,Second Class
CA-2016-126613,2014-06-01,2014-06-06,Standard Class
US-2017-122637,2014-06-01,2014-06-06,Second Class
CA-2015-147851,2016-12-10,2016-12-15,Standard Class
CA-2015-134894,2016-09-11,2016-09-17,Standard Class
CA-2014-140795,2016-09-11,2016-09-17,First Class
CA-2016-136924,2016-12-10,2016-12-13,First Class
US-2015-120161,2016-12-10,2016-12-13,Standard Class
CA-2014-103849,2015-11-28,2015-12-04,Standard Class
CA-2017-162929,2015-11-28,2015-12-04,First Class
CA-2015-113173,2015-11-28,2015-12-04,Second Class
CA-2016-136406,2015-11-28,2015-12-04,Second Class
CA-2017-112774,2017-12-01,2017-12-03,First Class
CA-2017-101945,2017-12-01,2017-12-03,Standard Class
CA-2017-100650,2017-12-01,2017-12-03,Second Class
CA-2014-155852,2017-06-08,2017-06-12,Second Class
CA-2016-113243,2014-09-19,2014-09-21,Standard Class
CA-2017-118731,2014-09-19,2014-09-21,Second Class
CA-2014-145576,2016-06-06,2016-06-13,Second Class
CA-2015-130736,2015-11-10,2015-11-15,First Class
CA-2017-137099,2017-06-16,2017-06-20,First Class
CA-2017-156951,2016-01-22,2016-01-28,Standard Class
CA-2017-164826,2017-12-09,2017-12-13,Standard Class
CA-2016-127250,2017-12-09,2017-12-13,Standard Class
CA-2015-149713,2017-12-28,2018-01-02,Second Class
CA-2017-118640,2015-07-30,2015-07-31,Standard Class
CA-2015-132906,2015-07-30,2015-07-31,Standard Class
CA-2017-145233,2015-07-30,2015-07-31,Standard Class
CA-2015-128139,2017-09-16,2017-09-17,Standard Class
US-2016-156986,2017-09-16,2017-09-17,Standard Class
CA-2014-135405,2017-10-13,2017-10-17,Standard Class
CA-2014-131450,2017-10-13,2017-10-17,Standard Class
CA-2016-120180,2017-10-13,2017-10-17,First Class
US-2016-100720,2017-10-13,2017-10-17,Standard Class
CA-2014-149958,2015-09-26,2015-09-28,Standard Class
US-2014-105767,2015-09-26,2015-09-28,Standard Class
CA-2016-161816,2015-11-02,2015-11-06,First Class
CA-2016-121223,2015-09-26,2015-10-02,Second Class
CA-2017-138611,2015-09-26,2015-10-02,Second Class
CA-2017-117947,2015-09-26,2015-10-02,Second Class
US-2014-111171,2016-12-18,2016-12-20,Standard Class
CA-2015-138009,2016-12-18,2016-12-20,Standard Class
CA-2017-163020,2016-12-18,2016-12-20,Standard Class
CA-2017-153787,2016-11-20,2016-11-24,Standard Class
CA-2017-133431,2016-11-20,2016-11-24,Standard Class
US-2016-135720,2016-11-20,2016-11-24,Second Class
CA-2017-144694,2016-11-20,2016-11-24,Second Class
CA-2015-168004,2014-12-26,2014-12-28,Second Class
US-2016-123470,2014-12-26,2014-12-28,Standard Class
CA-2016-115917,2014-12-26,2014-12-28,Standard Class
CA-2016-147067,2014-12-26,2014-12-28,Standard Class
CA-2017-167913,2014-12-26,2014-12-28,Second Class
CA-2017-106103,2016-10-28,2016-11-03,Standard Class
US-2017-127719,2016-10-28,2016-11-03,Standard Class
CA-2017-126221,2016-10-28,2016-11-03,Standard Class
CA-2016-103947,2016-10-28,2016-11-03,Standard Class
CA-2016-160745,2016-10-28,2016-11-03,Second Class
CA-2016-132661,2017-11-19,2017-11-23,Standard Class
CA-2017-140844,2015-05-04,2015-05-09,Standard Class
CA-2016-137239,2014-12-30,2015-01-04,Standard Class
US-2016-156097,2014-06-01,2014-06-06,Same Day
CA-2015-146563,2014-06-01,2014-06-06,Standard Class
CA-2016-123666,2017-04-15,2017-04-17,Standard Class
CA-2016-143308,2016-09-12,2016-09-14,Same Day
CA-2017-132682,2016-09-12,2016-09-14,Second Class
CA-2014-156314,2016-09-12,2016-09-14,First Class
US-2017-106663,2016-09-12,2016-09-14,Standard Class
CA-2017-111178,2014-09-27,2014-10-03,Standard Class
CA-2017-130351,2014-08-09,2014-08-16,First Class
US-2017-119438,2014-08-09,2014-08-16,Standard Class
CA-2016-164511,2014-12-28,2014-12-30,Standard Class
US-2017-168116,2014-11-04,2014-11-09,Same Day
CA-2014-157784,2014-11-04,2014-11-09,First Class
CA-2017-161480,2014-11-04,2014-11-09,Standard Class
US-2014-117135,2014-11-04,2014-11-09,Second Class
CA-2015-131534,2014-11-04,2014-11-09,Standard Class
CA-2015-119291,2014-09-19,2014-09-24,First Class
CA-2017-114552,2016-04-23,2016-04-27,Standard Class
CA-2016-163755,2016-04-23,2016-04-27,Second Class
CA-2015-142027,2017-11-03,2017-11-05,Standard Class
CA-2014-138527,2016-08-30,2016-09-01,Standard Class
CA-2014-112158,2016-08-30,2016-09-01,First Class
CA-2014-113887,2016-08-30,2016-09-01,First Class
CA-2017-146136,2016-08-30,2016-09-01,Standard Class
US-2017-100048,2016-08-30,2016-09-01,Standard Class
CA-2014-153150,2016-04-25,2016-04-29,Second Class
CA-2014-130092,2016-04-25,2016-04-29,First Class
CA-2017-108910,2016-04-25,2016-04-29,Standard Class
CA-2014-104472,2015-09-01,2015-09-04,Standard Class
CA-2016-112942,2015-09-01,2015-09-04,Standard Class
CA-2016-142335,2015-09-01,2015-09-04,Standard Class
CA-2014-117429,2014-07-12,2014-07-17,Standard Class
CA-2016-114713,2014-07-12,2014-07-17,Standard Class
CA-2017-144113,2015-06-22,2015-06-26,Standard Class
US-2016-150861,2014-04-13,2014-04-17,First Class
CA-2017-131954,2014-04-13,2014-04-17,Standard Class
CA-2014-132500,2014-04-13,2014-04-17,Standard Class
CA-2014-112326,2014-04-13,2014-04-17,Standard Class
US-2016-146710,2015-12-20,2015-12-24,Standard Class
CA-2014-124429,2017-06-15,2017-06-19,Same Day
CA-2016-150889,2017-07-08,2017-07-12,Second Class
CA-2017-126074,2017-07-08,2017-07-12,Standard Class
CA-2016-110499,2017-07-08,2017-07-12,First Class
CA-2015-135272,2016-09-01,2016-09-03,Standard Class
CA-2016-140928,2016-09-01,2016-09-03,Standard Class
CA-2014-106803,2016-09-01,2016-09-03,Standard Class
CA-2017-117240,2016-09-01,2016-09-03,Standard Class
CA-2017-133333,2016-09-01,2016-09-03,Standard Class
CA-2015-112319,2016-04-08,2016-04-13,Standard Class
CA-2017-126046,2016-04-08,2016-04-13,Standard Class
CA-2015-114923,2016-04-08,2016-04-13,Standard Class
CA-2014-162775,2016-04-08,2016-04-13,Second Class
CA-2014-106810,2016-04-23,2016-04-28,Standard Class
CA-2016-157245,2017-03-08,2017-03-11,Standard Class
CA-2017-104220,2017-03-08,2017-03-11,Standard Class
CA-2014-165974,2017-09-25,2017-10-01,Standard Class
CA-2015-144267,2017-09-25,2017-10-01,First Class
US-2015-157014,2017-09-25,2017-10-01,Second Class
CA-2015-154921,2017-09-25,2017-10-01,Standard Class
CA-2017-129567,2014-09-24,2014-09-29,Second Class
CA-2015-154620,2016-10-21,2016-10-21,Standard Class
CA-2015-115938,2016-10-21,2016-10-21,Standard Class
CA-2016-105256,2016-10-21,2016-10-21,Same Day
CA-2014-156433,2016-10-21,2016-10-21,Standard Class
CA-2017-151428,2017-05-29,2017-06-04,Standard Class
CA-2015-124653,2017-05-29,2017-06-04,First Class
CA-2015-101910,2014-07-23,2014-07-27,Standard Class
CA-2017-105809,2014-07-23,2014-07-27,First Class
CA-2016-136133,2014-07-23,2014-07-27,Second Class
CA-2016-115504,2014-07-23,2014-07-27,Standard Class
CA-2017-135783,2016-09-28,2016-10-01,First Class
CA-2014-134313,2017-08-27,2017-09-01,Standard Class
CA-2015-140921,2015-04-28,2015-05-05,First Class
CA-2014-151995,2015-04-28,2015-05-05,First Class
CA-2017-143686,2015-04-28,2015-05-05,Same Day
CA-2015-106565,2016-10-28,2016-10-29,First Class
CA-2016-149370,2016-10-28,2016-10-29,Standard Class
CA-2014-140858,2015-06-26,2015-06-29,Standard Class
CA-2017-101434,2015-11-27,2015-12-02,Standard Class
US-2014-102071,2015-11-27,2015-12-02,Standard Class
CA-2017-126956,2015-12-03,2015-12-07,Standard Class
CA-2017-129462,2015-12-03,2015-12-07,Second Class
CA-2016-165316,2014-11-24,2014-11-26,Standard Class
US-2014-115987,2017-12-11,2017-12-15,Second Class
US-2017-156083,2017-12-11,2017-12-15,Standard Class
US-2016-137547,2014-09-21,2014-09-23,Standard Class
CA-2015-100454,2014-09-21,2014-09-23,Standard Class
CA-2016-161669,2014-06-07,2014-06-10,First Class
CA-2015-114300,2017-06-30,2017-07-05,Standard Class
CA-2017-107503,2017-10-17,2017-10-19,Standard Class
CA-2014-107755,2017-10-17,2017-10-19,Standard Class
CA-2016-152534,2015-10-31,2015-11-04,Second Class
CA-2016-113747,2016-09-08,2016-09-10,Standard Class
CA-2016-123274,2016-09-08,2016-09-10,Standard Class
CA-2014-125612,2016-09-08,2016-09-10,Standard Class
CA-2017-161984,2016-09-08,2016-09-10,Standard Class
CA-2014-133851,2014-12-24,2014-12-26,Standard Class
CA-2016-134474,2014-04-16,2014-04-20,Second Class
CA-2014-149020,2017-12-24,2017-12-29,Standard Class
CA-2016-134362,2017-12-08,2017-12-12,First Class
CA-2014-136742,2017-12-08,2017-12-12,Standard Class
CA-2016-158099,2017-12-08,2017-12-12,First Class
CA-2015-131128,2017-12-08,2017-12-12,First Class
CA-2014-148488,2017-12-08,2017-12-12,Standard Class
CA-2017-114636,2017-12-08,2017-12-12,Standard Class
CA-2016-116736,2017-12-08,2017-12-12,Standard Class
US-2014-158638,2017-12-08,2017-12-12,Standard Class
CA-2017-111689,2017-12-08,2017-12-12,Second Class
CA-2015-129098,2017-11-03,2017-11-07,Standard Class
US-2017-123463,2017-11-03,2017-11-07,Same Day
CA-2016-165148,2017-06-24,2017-06-28,First Class
CA-2014-134061,2016-04-14,2016-04-18,Standard Class
CA-2015-143602,2017-11-06,2017-11-10,Second Class
CA-2017-115364,2017-03-04,2017-03-09,Standard Class
CA-2017-150707,2017-03-04,2017-03-09,Standard Class
CA-2014-104976,2014-06-22,2014-06-25,Standard Class
CA-2017-132934,2017-10-19,2017-10-23,Standard Class
CA-2017-133256,2017-10-19,2017-10-23,First Class
CA-2016-105494,2017-08-21,2017-08-23,First Class
CA-2016-140634,2017-11-23,2017-11-26,Second Class
CA-2014-144407,2017-11-23,2017-11-26,Standard Class
CA-2017-160983,2014-09-12,2014-09-13,Second Class
US-2016-114622,2017-10-01,2017-10-08,First Class
CA-2017-150959,2016-04-15,2016-04-21,First Class
CA-2017-132353,2016-04-15,2016-04-21,First Class
CA-2016-130477,2016-04-15,2016-04-21,Standard Class
CA-2017-143259,2016-04-15,2016-04-21,Standard Class
CA-2017-137596,2016-06-06,2016-06-07,Standard Class
CA-2015-133627,2014-12-19,2014-12-25,Standard Class
CA-2017-102519,2014-12-19,2014-12-25,First Class
US-2014-141215,2016-06-12,2016-06-14,Standard Class
CA-2016-165218,2016-06-12,2016-06-14,Standard Class
CA-2014-138296,2017-09-15,2017-09-19,Standard Class
CA-2015-111164,2017-01-20,2017-01-23,Standard Class
CA-2016-149797,2016-09-05,2016-09-07,Standard Class
CA-2014-132962,2016-09-05,2016-09-07,First Class
CA-2015-115091,2016-09-05,2016-09-07,Standard Class
CA-2017-144932,2016-09-05,2016-09-07,First Class
CA-2017-114216,2016-09-05,2016-09-07,Standard Class
CA-2016-140081,2016-09-05,2016-09-07,Standard Class
US-2017-111745,2017-03-20,2017-03-25,First Class
CA-2015-148250,2016-04-01,2016-04-03,Standard Class
CA-2016-105760,2016-04-01,2016-04-03,First Class
CA-2016-142958,2016-04-01,2016-04-03,Standard Class
CA-2015-120880,2016-04-01,2016-04-03,Standard Class
US-2015-140200,2016-04-01,2016-04-03,First Class
US-2017-110576,2016-04-01,2016-04-03,Standard Class
CA-2017-131156,2017-10-20,2017-10-24,Standard Class
CA-2017-136539,2017-10-20,2017-10-24,Standard Class
CA-2017-119305,2016-12-13,2016-12-17,Standard Class
CA-2017-102414,2014-02-12,2014-02-18,Second Class
CA-2015-112571,2016-09-26,2016-10-01,Same Day
CA-2017-152142,2016-09-26,2016-10-01,Standard Class
CA-2015-160059,2015-12-15,2015-12-22,Standard Class
CA-2016-120859,2015-12-15,2015-12-22,First Class
CA-2014-127488,2015-12-15,2015-12-22,Second Class
CA-2017-135279,2016-04-22,2016-04-29,First Class
CA-2014-115791,2016-04-22,2016-04-29,Second Class
US-2017-103247,2016-04-22,2016-04-29,Second Class
US-2017-100209,2016-04-22,2016-04-29,Standard Class
CA-2017-159366,2016-04-22,2016-04-29,First Class
CA-2016-145499,2015-01-17,2015-01-24,First Class
CA-2015-157035,2017-03-31,2017-04-04,First Class
CA-2016-144939,2016-12-16,2016-12-20,Standard Class
CA-2014-163419,2015-12-20,2015-12-24,Second Class
CA-2017-100314,2014-11-09,2014-11-11,Standard Class
CA-2015-146829,2014-11-09,2014-11-11,Same Day
CA-2017-167899,2014-11-09,2014-11-11,Standard Class
CA-2015-153549,2014-11-09,2014-11-11,Second Class
CA-2016-110023,2014-11-09,2014-11-11,First Class
CA-2016-105585,2014-11-09,2014-11-11,First Class
CA-2014-117639,2016-07-12,2016-07-19,Standard Class
CA-2015-162537,2016-10-27,2016-11-02,Standard Class
CA-2016-155488,2016-06-26,2016-07-02,Standard Class
CA-2015-124891,2016-06-26,2016-07-02,Same Day
CA-2015-126445,2014-10-06,2014-10-10,Standard Class
CA-2015-111199,2014-07-22,2014-07-27,Standard Class
CA-2015-105312,2014-07-22,2014-07-27,First Class
US-2017-106705,2017-06-10,2017-06-13,Standard Class
CA-2017-135034,2017-06-10,2017-06-13,First Class
CA-2014-158540,2017-06-10,2017-06-13,First Class
CA-2017-118437,2014-10-29,2014-10-31,Second Class
US-2015-126214,2014-06-09,2014-06-13,Second Class
CA-2015-133025,2014-06-09,2014-06-13,Second Class
CA-2015-108665,2014-06-09,2014-06-13,Standard Class
CA-2015-124450,2014-09-14,2014-09-19,Standard Class
CA-2015-167269,2014-09-14,2014-09-19,Standard Class
CA-2017-106964,2016-05-09,2016-05-14,First Class
